epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,412.534,1.25486,1.63722,1.72669,0.68615,0.63744,0.68416,0.38224,1.45375,1.4275,2.16601,0.00999622,0.00333207,0.00999622,0.00333207,0.00999622,0.00333207,0.00999622,0.00333207
2,746.917,1.30704,1.61054,1.80409,0.64925,0.55855,0.6041,0.31888,1.55078,1.63201,2.2614,0.019995,0.006665,0.019995,0.006665,0.019995,0.006665,0.019995,0.006665
3,1062.1,1.39416,1.82026,1.89522,0.6043,0.59376,0.57128,0.30308,1.58712,1.64519,2.30101,0.0299889,0.0099963,0.0299889,0.0099963,0.0299889,0.0099963,0.0299889,0.0099963
4,1373.28,1.40176,1.8737,1.90557,0.67781,0.6262,0.66172,0.36986,1.49123,1.48606,2.15366,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,1685.96,1.32296,1.6789,1.82856,0.73742,0.63614,0.68768,0.38875,1.43716,1.40791,2.14398,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,1997.35,1.25287,1.53515,1.76227,0.75727,0.70272,0.73887,0.46126,1.29959,1.21814,1.97558,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,2308.06,1.21398,1.45653,1.72969,0.78837,0.70651,0.76527,0.49576,1.23522,1.12293,1.90621,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,2619.91,1.16484,1.36914,1.68516,0.79792,0.72129,0.76898,0.50173,1.20567,1.08701,1.86067,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,2931.38,1.14118,1.30587,1.65845,0.81711,0.74075,0.79117,0.52958,1.1844,1.01916,1.82912,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,3242.28,1.12265,1.26881,1.63852,0.82542,0.75477,0.80161,0.53753,1.15964,1.00001,1.80175,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,3554.1,1.09627,1.22338,1.60883,0.81363,0.74452,0.79957,0.54219,1.14604,0.98529,1.81502,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,3866.11,1.08656,1.18915,1.5959,0.83021,0.74943,0.80587,0.54691,1.15203,0.95656,1.78519,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,4176.92,1.06161,1.15261,1.57525,0.83178,0.76745,0.81748,0.56272,1.0977,0.91224,1.74965,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,4487.78,1.05342,1.12071,1.56286,0.84672,0.76124,0.82222,0.56619,1.0893,0.91301,1.72547,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,4799.5,1.0325,1.10691,1.55096,0.84919,0.78454,0.83269,0.58016,1.06097,0.88909,1.71886,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,5110.32,1.02792,1.08426,1.54758,0.85402,0.78228,0.83554,0.58778,1.04137,0.85788,1.69021,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,5420.94,1.01686,1.06659,1.5351,0.84436,0.78585,0.83939,0.59851,1.02749,0.83885,1.67113,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,5732.35,1.00587,1.04188,1.52033,0.85972,0.78683,0.84329,0.60028,1.02441,0.83188,1.66519,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,6043.2,0.99882,1.0283,1.51389,0.85863,0.78925,0.84353,0.60418,1.01276,0.81039,1.67502,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,6355.87,0.9898,1.01087,1.50062,0.86101,0.79767,0.855,0.61646,1.00667,0.81838,1.63834,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,6667.81,0.98031,0.99809,1.50254,0.86117,0.79132,0.84677,0.60661,1.01153,0.79157,1.654,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
